CFM7.0 Fault Object Name,Fault Area/Major Fault System,Code,Fault Zone/Region,Code,Fault Section,Code,Fault Name,Source/Author,Last Update,wAvgStrike,wAvgDip,TotalArea(km^2),Exposure,Slip Sense,ID Comments,USGS ID,Fault Strand/Model Description,References,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNRA: BASIN AND RANGE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNRA-BMFZ-MULT-Black_Mountain_fault-CFM3,Basin and Range Area,BNRA,Black Mountain fault zone,BMFZ,Multiple sections,MULT,Black Mountain fault,HRVD,CFM3,168,24,804.37,surface,orln,,142a-d,,"Machette et al., 2003 (USGS Open File Report), Bryant, 2005+updates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNRA-NDVZ-MULT-Northern_Death_Valley_fault-CFM2,Basin and Range Area,BNRA,Northern Death Valley fault zone,NDVZ,Multiple sections,MULT,Northern Death Valley fault,HRVD,CFM2,321,90,684.48,surface,rlss,,141a-c,,"Machette et al., 2003 (USGS Open File Report), Bryant, 2005+updates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNRA-SDVZ-MULT-Southern_Death_Valley_fault-CFM6,Basin and Range Area,BNRA,Southern Death Valley fault zone,SDVZ,Multiple sections,MULT,Southern Death Valley fault,HRVD,CFM6,311,49,628.79,surface,orln,,143a-b,"Originally developed in CFM2, now a preferred fault in CFM6.","Burchfiel et al., 1987; Chavez-Perez et al., 1998; Gold et al., 2020; Hayman et al., 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASC: CASCADIA AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASC-BMMR-BLDM-Bald_Mountain_Big_Lagoon-CFM7,Cascadia Fault Area,CASC,Bald Mountain-Big Lagoon-Mad River fault zone,BMMR,Bald Mountain,BLDM,Bald Mountain fault,HRVD,CFM7,340,34,5730.18,surface,r,"FAM 16,33,34;",12,"combined onshore/offshore reverse fault, needs Big Lagoon fault strand","CGS FAM, Qfaults, USGS (2020)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASC-BMMR-MDRV-Mad_River-CFM7,Cascadia Fault Area,CASC,Bald Mountain-Big Lagoon-Mad River fault zone,BMMR,Mad River,MDRV,Mad River fault,HRVD,CFM7,331,35,2321.62,surface,r,,,reverse fault,"Qfaults, USGS (2020)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASC-CASC-FRNT-Cascadia_Subduction_Megathrust-CFM7,Cascadia Fault Area,CASC,Cascadia Megathrust,CASC,"frontal, basal section",FRNT,Cascadia Subduction Megathrust,HRVD,CFM7,6,16,189925.28,surface,r,FAM 15,781,"2013 model, plan to update to 2024 model","Blair et al. 2013 + Qfaults, USGS (2020) trace",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASC-LSLM-EROF-Little_Salmon_offshore-CFM7,Cascadia Fault Area,CASC,Little Salmon fault zone,LSLM,Eureka offshore,EROF,Little Salmon fault (offshore),HRVD,CFM7,320,30,1152.15,surface,r,,,offshore portion of reverse fault,"Qfaults, USGS (2020)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASC-LSLM-MULT-Little_Salmon_onshore-CFM7,Cascadia Fault Area,CASC,Little Salmon fault zone,LSLM,"Little Salmon Creek, and east",MULT,Little Salmon-Yager fault (onshore),HRVD,CFM7,316,30,1856.52,surface,r,,,"onshore portion of reverse fault, combined sections","Qfaults, USGS (2020)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
