name,area,aabb,zone,zabb,section,sabb,fault
BNRA-SDVZ-MULT-Southern_Death_Valley_fault_vertical-ALT6,Basin and Range Area,BNRA,Southern Death Valley fault zone,SDVZ,Multiple sections,MULT,Southern Death Valley fault
ETRA-NFTS-EAST-North_Frontal_fault_steep-ALT6,Eastern Transverse Ranges Area,ETRA,North Frontal thrust system,NFTS,Eastern,EAST,Eastern North Frontal fault
ETRA-NFTS-WEST-North_Frontal_Thrust_fault_steep-ALT6,Eastern Transverse Ranges Area,ETRA,North Frontal thrust system,NFTS,Western,WEST,Western North Frontal thrust
OCBA-CBKD-MULT-Coronado_Bank_detachment_upper-ALT6,Offshore Continental Borderland Area,OCBA,Coronado Bank Detachment,CBKD,Multiple sections,MULT,Coronado Bank detachment upper
OCBA-CRSF-RDNC-Redondo_Canyon_fault-ALT6,Offshore Continental Borderland Area,OCBA,Cross faults,CRSF,Redondo Canyon,RDNC,Redondo Canyon fault
OCBA-OCSD-OCNS-Oceanside_detachment_alt1-ALT6,Offshore Continental Borderland Area,OCBA,Oceanside Detachment,OCSD,Oceanside,OCNS,Oceanside detachment
OCBA-OCSD-OCNS-Oceanside_fault_south_west-ALT6,Offshore Continental Borderland Area,OCBA,Oceanside Detachment,OCSD,Oceanside,OCNS,Oceanside fault-south-west
OCBA-PVFZ-MULT-Palos_Verdes_fault-ALT6,Offshore Continental Borderland Area,OCBA,Palos Verdes fault zone,PVFZ,Multiple sections,MULT,Palos Verdes fault
OCBA-SMBS-MULT-Santa_Monica_Bay_fault-ALT6,Offshore Continental Borderland Area,OCBA,Santa Monica Bay fault system,SMBS,Multiple sections,MULT,Santa Monica Bay fault
OCBA-SMCS-MULT-San_Mateo_Carlsbad_fault-ALT6,Offshore Continental Borderland Area,OCBA,San Mateo-San Onofre-Carlsbad fault system,SMCS,Multiple sections,MULT,San Mateo-Carlsbad fault
OCBA-SMCS-SMTO-San_Onofre_fault_upper-ALT6,Offshore Continental Borderland Area,OCBA,San Mateo-San Onofre-Carlsbad fault system,SMCS,San Mateo,SMTO,San Onofre fault
