name,abb
Coronado Bank Detachment,CBKD
Cross faults,CRSF
Elsinore-Laguna Salada fault zone,ELSZ
North Channel-Ventura fault system,NCVS
North Frontal thrust system,NFTS
Oak Ridge fault zone,ORFZ
Oceanside Detachment,OCSD
Palos Verdes fault zone,PVFZ
Panamint Valley fault zone,PMVZ
San Andreas fault zone,SAFZ
San Cayetano fault zone,SCFZ
San Fernando fault system,SFNS
San Gorgonio Pass fault region,SGPR
San Mateo-San Onofre-Carlsbad fault system,SMCS
San Pedro Escarpment fault system,SPES
Santa Monica Bay fault system,SMBS
Santa Ynez fault zone,SYFZ
Simi-Santa Rosa fault zone,SSRZ
Southern Death Valley fault zone,SDVZ
Southern Frontal fault system,SFFS
