CFM7.0 Alternative Fault Object Name,Fault Area/Major Fault System,Code,Fault Zone/Region,Code,Fault Section,Code,Fault Name,Source/Author,Last Update,wAvgStrike,wAvgDip,TotalArea(km^2),Exposure,Slip Sense,ID Comments,USGS ID,Fault Strand/Model Description,References,,,,,
BNRA-SDVZ-MULT-Southern_Death_Valley_fault_vertical-ALT6,Basin and Range Area,BNRA,Southern Death Valley fault zone,SDVZ,Multiple sections,MULT,Southern Death Valley fault,HRVD,CFM6,142,90,439.68,surface,rlss,,143a-b,CFM3 model,"Machette et al., 2003 (USGS Open File Report), Bryant, 2005+updates",,,,,
ETRA-NFTS-EAST-North_Frontal_fault_steep-ALT6,Eastern Transverse Ranges Area,ETRA,North Frontal thrust system,NFTS,Eastern,EAST,Eastern North Frontal fault,UCSB,CFM6,276,82,213.54,surface,r,,109b,CFM5 model; Qfaults + relocated seismicity,"Bryant et al., 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2014; Plesch et al., 2014",,,,,
ETRA-NFTS-WEST-North_Frontal_Thrust_fault_steep-ALT6,Eastern Transverse Ranges Area,ETRA,North Frontal thrust system,NFTS,Western,WEST,Western North Frontal thrust,CMDT,CFM6,262,81,563.45,surface,r,,109a,CFM5 model; Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2014; Plesch et al., 2014",,,,,
OCBA-CBKD-MULT-Coronado_Bank_detachment_upper-ALT6,Offshore Continental Borderland Area,OCBA,Coronado Bank Detachment,CBKD,Multiple sections,MULT,Coronado Bank detachment upper,UCSB,CFM6,327,24,509.27,surface,orlr,,missing,CFM5 Sorlien model from MCS,"Sorlien et al., 2015; Nicholson et al., 2013; Plesch et al., 2015",,,,,
OCBA-CRSF-RDNC-Redondo_Canyon_fault-ALT6,Offshore Continental Borderland Area,OCBA,Cross faults,CRSF,Redondo Canyon,RDNC,Redondo Canyon fault,HRVD,CFM6,262,90,169.32,surface,orlr,,130,CFM2; Ziony model,"Ziony, J.I., and Yerkes, R.F., 1985; (USGS Prof Paper 1360)",,,,,
OCBA-OCSD-OCNS-Oceanside_detachment_alt1-ALT6,Offshore Continental Borderland Area,OCBA,Oceanside Detachment,OCSD,Oceanside,OCNS,Oceanside detachment,UCSB,CFM6,350,13,686.91,blind,orlr,,missing,CFM5 Sorlien model from MCS; CVMH,"Rivero et al., 2000 (Geology); Rivero et al., 2005 (AAPG); Sorlien et al., 2015; Plesch et al., 2015; Nicholson, 2016",,,,,
OCBA-OCSD-OCNS-Oceanside_fault_south_west-ALT6,Offshore Continental Borderland Area,OCBA,Oceanside Detachment,OCSD,Oceanside,OCNS,Oceanside fault-south-west,UCSB,CFM6,335,37,76.69,blind,orlr,,293,CFM5 Sorlien model from MCS,"Rivero et al., 2000 (Geology); Rivero et al., 2005 (AAPG); Sorlien et al., 2015; Plesch et al., 2015; Nicholson, 2016",,,,,
OCBA-PVFZ-MULT-Palos_Verdes_fault-ALT6,Offshore Continental Borderland Area,OCBA,Palos Verdes fault zone,PVFZ,Multiple sections,MULT,Palos Verdes fault,UCSB,CFM6,145,78,1671.75,surface,orlr,,128a-e,CFM5 Sorlien model + relocated seismicity,"Sorlien et al., 2013; Hauksson et al., 2012+updates; Nicholson et al., 2014",,,,,
OCBA-SMBS-MULT-Santa_Monica_Bay_fault-ALT6,Offshore Continental Borderland Area,OCBA,Santa Monica Bay fault system,SMBS,Multiple sections,MULT,Santa Monica Bay fault,CMDT,CFM6,282,28,1523.3,blind,r,,missing,CFM3 Sorlien model from MCS; extrapolated to depth,"Sorlien et al., 2003, 2006",,,,,
OCBA-SMCS-MULT-San_Mateo_Carlsbad_fault-ALT6,Offshore Continental Borderland Area,OCBA,San Mateo-San Onofre-Carlsbad fault system,SMCS,Multiple sections,MULT,San Mateo-Carlsbad fault,UCSB,CFM6,336,35,510.41,blind,orlr,,294a-c,CFM5 Sorlien model from MCS; trimmed to seafloor,"Rivero et al., 2000 (Geology); Rivero et al., 2005 (AAPG); Sorlien et al., 2015; Nicholson et al., 2013, 2020; Plesch et al., 2015",,,,,
