#EventTime,EventID,Lat,Lon,Depth(km),Magnitude,TextLabel
2019-07-06T03:19:53.040,ci38457511,35.7695,-117.5993333,8,7.1,2019 M7.1
2019-07-04T17:33:49.000,ci38443183,35.7053333,-117.5038333,10.5,6.4,2019 M6.4
2010-04-04T22:40:42.360,ci14607652,32.2861667,-115.2953333,9.987,7.2,2010 M7.2
2003-12-22T19:15:56.240,nc21323712,35.7005,-121.1005,8.382,6.5,2003 M6.5
1999-10-16T09:46:44.460,ci9108652,34.6033333,-116.265,13.73,7.1,1999 M7.1
1994-01-17T12:30:55.390,ci3144585,34.213,-118.537,18.202,6.7,1994 M6.7
1993-05-17T23:20:50.250,ci3105173,37.165,-117.774,3.599,6.1,1993 M6.1
1992-06-28T15:05:30.730,ci3031425,34.203,-116.827,3.634,6.3,1992 M6.3
1992-06-28T11:57:34.130,ci3031111,34.2,-116.437,-0.097,7.3,1992 M7.3
1992-04-23T04:50:23.230,ci3019681,33.96,-116.317,11.629,6.1,1992 M6.1
1987-11-24T13:15:56.710,ci628016,33.015,-115.852,11.181,6.6,1987 M6.6
1987-11-24T01:54:14.660,ci134894,33.09,-115.792,10.853,6.2,1987 M6.2
1986-07-08T09:20:44.560,ci700917,33.999,-116.608,9.468,6,1986 M6.0
1983-05-02T23:42:38.060,nc1091100,36.2316667,-120.312,9.578,6.7,1983 M6.7
1980-06-09T03:28:19.140,ci9730174,32.1998333,-115.1221667,6,6.3,1980 M6.3
1979-10-15T23:16:53.910,ci3352060,32.6673333,-115.3591667,15,6.4,1979 M6.4
1971-02-09T14:00:41.920,ci3347678,34.416,-118.37,8.95,6.6,1971 M6.6
1969-11-05T17:54:12.000,iscgem801913,34.589,-121.428,10,6,1969 M6.0
1968-04-09T02:28:59.610,ci3329122,33.1798333,-116.103,10,6.6,1968 M6.6
1956-02-09T14:32:42.090,ci3297521,31.8321667,-116.2308333,6,6.8,1956 M6.8
1954-11-12T12:26:54.250,ci3298562,31.9343333,-116.3126667,6,6.09,1954 M6.1
1954-03-19T09:54:28.170,ci3299653,33.2985,-116.0805,6,6.4,1954 M6.4
1952-11-22T07:46:37.680,ci3307216,35.7231667,-121.3278333,6,6.2,1952 M6.2
1952-07-21T11:52:15.460,ci3319401,34.9581667,-118.998,6,7.5,1952 M7.5
1948-12-04T23:43:17.590,ci9860350,33.9833333,-116.3308333,6,6,1948 M6.0
1947-04-10T15:58:06.890,ci3358945,34.9828333,-116.5315,6,6.5,1947 M6.5
1946-03-15T13:49:38.910,ci3360174,35.7023333,-117.9441667,6,6.3,1946 M6.3
1942-10-21T16:22:12.020,ci3366099,32.9753333,-115.7853333,6,6.6,1942 M6.6
1940-05-19T04:36:41.500,ci3365279,32.8441667,-115.381,6,6.9,1940 M6.9
1937-03-25T16:49:03.820,ci3364162,33.4,-116.25,6,6,1937 M6.0
1934-12-31T18:45:44.080,ci3362656,32.18,-115.1755,6,6.42,1934 M6.4
1934-12-30T13:52:03.310,ci3362651,32,-114.9,6,6.33,1934 M6.3
1933-03-11T01:54:10.660,ci3359741,33.6308333,-117.9995,6,6.4,1933 M6.4
1927-11-04T13:51:03.000,iscgem909604,34.813,-120.774,10,6.9,1927 M6.9
1925-06-29T14:42:16.000,ci37161284,34.3,-119.8,10,6.82,1925 M6.8
1922-03-10T11:21:20.000,ushis675,35.75,-120.25,,6.5,1922 M6.5
1918-04-21T22:32:25.000,ushis631,33.75,-117,,6.75,1918 M6.8
1916-11-10T09:11:00.000,ushis603,35.5,-116,,6.1,1916 M6.1
1915-11-21T00:13:42.000,ushis579,32,-115,,6.95,1915 M7.0
1908-11-04T08:37:00.000,ushis478,36,-117,,6.5,1908 M6.5
1906-04-19T00:30:00.000,ushis451,32.9,-115.5,,6.28,1906 M6.3
1901-03-03T07:45:00.000,ushis393,36,-120.5,,6.4,1901 M6.4
