#EventTime,EventID,Lat,Lon,Depth(km),Magnitude,TextLabel
1901-03-03T07:45:00.000,ushis393,36,-120.5,,6.4,1901 M6.4
1903-01-24T05:27:00.000,official19030124052700000,31.5,-115,,6.6,1903 M6.6
1903-06-11T13:12:00.000,cdmg19030611131200000,37.2,-121.8,,6.1,1903 M6.1
1903-08-03T06:49:00.000,ushis421,37.3,-121.8,,6.2,1903 M6.2
1905-05-26T02:50:00.000,cdmg19050526025000000,36.5,-120.6,,6.1,1905 M6.1
1906-04-18T13:12:26.300,official19060418131226300_12,37.75,-122.55,11.7,7.9,1906 M7.9
1906-04-19T00:30:00.000,ushis451,32.9,-115.5,,6.28,1906 M6.3
1906-04-23T09:10:00.000,ushis452,41,-124,,6.4,1906 M6.4
1908-11-04T08:37:00.000,ushis478,36,-117,,6.5,1908 M6.5
1909-10-29T06:45:00.000,ushis495,40.5,-124.2,,6.4,1909 M6.4
1910-03-19T00:11:00.000,ushis500,40,-125,,6,1910 M6.0
1911-07-01T21:59:58.350,iscgem16958150,37.111,-121.637,10,6.45,1911 M6.5
1914-02-18T18:17:00.000,ushis556,39.5,-119.8,,6,1914 M6.0
1914-04-24T08:35:00.000,ushis559,39.5,-119.8,,6.4,1914 M6.4
1915-06-23T03:59:00.000,ushis571,32.8,-115.5,,6,1915 M6.0
1915-10-03T01:48:17.670,iscgem913943,40.529,-118.669,15,6,1915 M6.0
1915-10-03T06:53:21.210,iscgem913944,40.269,-117.584,10,6.8,1915 M6.8
1915-11-21T00:13:42.980,iscgem913953,31.932,-114.945,10,6.57,1915 M6.6
1916-11-10T09:11:00.000,ushis603,35.5,-116,,6.1,1916 M6.1
1918-04-21T22:32:30.350,iscgem913126,33.762,-116.972,10,6.7,1918 M6.7
1918-07-15T00:23:12.820,iscgem913200,41.325,-124.72,15,6.5,1918 M6.5
1922-03-10T11:21:20.000,ushis675,35.75,-120.25,,6.5,1922 M6.5
1923-07-23T07:30:23.910,iscgem911466,34.089,-117.259,5,6.21,1923 M6.2
1925-06-04T12:02:52.000,ushis718,41.5,-125,,6,1925 M6.0
1925-06-29T14:42:16.000,ci37161284,34.3,-119.8,10,6.82,1925 M6.8
1926-10-22T12:35:00.000,ushis750,36.617,-122.35,,6.1,1926 M6.1
1926-10-22T12:35:16.170,iscgem910174,36.808,-122.205,15,6.35,1926 M6.3
1926-10-22T13:35:29.310,iscgem910175,36.924,-122.341,10,6.31,1926 M6.3
1927-01-01T09:13:36.770,iscgemsup909038,32.153,-115.764,10,6.08,1927 M6.1
1927-11-04T13:51:03.410,iscgem909604,34.68,-120.705,10,6.9,1927 M6.9
1932-06-06T08:44:26.300,iscgem906203,40.729,-124.287,15,6.45,1932 M6.5
1932-12-21T06:10:10.700,iscgem906508,38.604,-117.952,10,6.8,1932 M6.8
1933-03-11T01:54:09.340,ci3359741,33.6308333,-117.9995,6,6.4,1933 M6.4
1933-06-25T20:45:28.990,iscgem905662,39.177,-119.32,15,6.08,1933 M6.1
1934-01-30T20:16:31.000,ushis1021,38.28,-118.36,,6.3,1934 M6.3
1934-12-30T13:52:02.690,ci3362651,32,-114.9,6,6.33,1934 M6.3
1934-12-31T18:45:43.920,ci3362656,32.18,-115.1755,6,6.42,1934 M6.4
1937-03-25T16:49:02.180,ci3364162,33.4,-116.25,6,6,1937 M6.0
1940-05-19T04:36:40.500,ci3365279,32.8441667,-115.381,6,6.9,1940 M6.9
1942-10-21T16:22:11.980,ci3366099,32.9753333,-115.7853333,6,6.6,1942 M6.6
1946-03-15T13:49:37.090,ci3360174,35.7023333,-117.9441667,6,6.3,1946 M6.3
1947-04-10T15:58:05.110,ci3358945,34.9828333,-116.5315,6,6.5,1947 M6.5
1948-12-04T23:43:16.410,ci9860350,33.9833333,-116.3308333,6,6,1948 M6.0
1948-12-29T12:53:28.000,ushis1643,39.55,-120.08,,6,1948 M6.0
1951-10-08T04:10:38.080,iscgem894786,40.238,-124.713,15,6.02,1951 M6.0
1952-07-21T11:52:14.540,ci3319401,34.9581667,-118.998,6,7.5,1952 M7.5
1952-09-22T11:41:29.750,iscgem893449,40.234,-124.322,15,6.01,1952 M6.0
1952-11-22T07:46:36.320,ci3307216,35.7231667,-121.3278333,6,6.2,1952 M6.2
