name,abb
Agua Caliente fault zone,ACFZ
Agua Tibia-Earthquake Valley fault,EQVF
Agua Tibia-Earthquake Valley fault-east,EQVE
Agua Tibia-Earthquake Valley fault-west,EQVW
Airport Lake fault,ARPF
Anacapa-Dume fault,ADMF
Anaheim fault,ANHF
Ash Hill fault,ASHF
Bailey fault,BLYF
Banning fault strand,BNFS
Banning-NPS fault splay,BNPS
Beaumont A fault,BMTA
Beaumont B fault,BMTB
Beaumont C fault,BMTC
Beaumont D fault,BMTD
Berdoo Canyon fault,BDCF
Bicycle Lake fault,BCLF
Big Bear rupture,BGBR
Big Pine fault,BPNF
Big Spring fault,BSPF
Bitter Springs fault,BSPF
Black Mountain fault,BMTF
Blackwater fault,BWTF
Blue Cut fault,BCTF
Borrego fault,BRGF
Brawley Seismic zone,BSZ
Brawley fault,BRWF
Buck Ridge fault,BKRF
Buck Ridge-Hot Springs link,BRHS
Burnt Mountain-East Wide Canyon,BMEW
Cady fault,CDYF
Calico-Hildalgo fault,CLHF
Camp Rock fault,CPRF
Canada David detachment,CNDD
Casa Blanca fault,CSBF
Casa Loma fault,CSLF
Casmalia fault,CSMF
Catalina Island detachment,CTID
Cerro Prieto fault,CRPF
Cerro-Centinela fault,CRCF
Channel Islands thrust,CIT
Chicken Hill fault,CCHF
Chino Fault,CHNF
Clamshell-Sawpit Canyon fault,CSCF
Claremont fault,CLMF
Clark fault-north,CLFN
Clark fault-south,CLFS
Clark fault-south-east,CFSE
Clark fault-south-west,CFSW
Cleghorn Lake fault,CLGF
Cleghorn fault,CLGF
Coalinga blind fault,COLF
Compton-Los_Alamitos fault,CLAF
Copper Mountain fault,CMTF
Coronado Bank detachment,CRBD
Coronado Bank east splay,CRBE
Coronado Bank fault,CRBF
Coronado Bank west splay,CRBW
Coyote Canyon fault,CYCF
Coyote Creek fault,CCRF
Coyote Creek fault-center,CCFC
Coyote Creek fault-northeast,CCRF
Coyote Lake fault,CYLF
Cucamonga fault,CMGF
Davies Valley fault,DVVF
Deep detachment,DPDM
Del Rosa cross fault,DRCF
Del Valle fault,DVLF
Descanso fault,DSCF
Descanso fault-A,DSCA
Descanso fault-B,DSCB
Descanso fault-C,DSCC
Descanso fault-east splay,DSES
Descanso fault-west splay,DSWS
Descanso-RC transfer fault,DRCT
Devil's Canyon fault,DVCF
Dixieland_fault,DXLF
Eage Rock fault,ERKF
East Bullion-Valley Mountain fault,EBVM
East Huasna fault,EHSF
East Montebello fault,EMBF
East Santa Cruz Basin fault-A,ESCB
East Santa Cruz Basin fault-B,ESCB
East Santa Cruz Basin fault-D,ESCB
East Santa Cruz Basin fault-E,ESCB
East Santa Cruz Basin fault-main,ESCB
Eastern Little Lake fault,LLKF
Eastern North Frontal fault,ENFT
El Mayor-Cucapah normal fault,EMNF
El Mayor-Cucapah west fault,EMWF
Elmore Ranch fault,ELRF
Elsinore fault,ELSF
Elsinore fault-north,ELNF
Elsinore fault-south,ELSF
Elsinore-Wildomar link,ELWL
Emerson fault,EMSF
Eureka Peak-West Deception Canyon,EPWD
Extra fault,EXTF
Ferrelo fault,FRLF
Fish Creek Mountain fault,FCMF
Fontana Seismicity lineament,FNTS
Galway Lake fault,GLWF
Garlic Springs fault,GRSF
Garlock fault,GRLF
Garnet Hill fault strand,GHFS
Glen Helen fault,GHNF
Glen Ivy North fault,GINF
Glen Ivy South fault,GISF
Goldstone Lake fault,GLSF
Granite Mountains fault-west,GRMW
Grass Valley fault,GSVF
Gravel Hills fault-nw,GVHN
Gravel Hills-Harper Lake fault,GHLF
Harper Valley fault,HPVF
Harper Valley – Mt_General fault,HMGF
Hector Mine rupture,HCMR
Helendale-South Lockhart fault,HSLF
Hidden Springs fault,HDSF
Hollywood fault,HLWD
Holser fault,HLSF
Homestead Valley fault,HSVF
Hondo detachment-S-dip,HNDD
Hosgri fault,HSGF
Hot Springs fault,HSPF
Hot Springs fault-west,HSFW
Hunter Mountain fault,HTMF
Icehouse Canyon fault-truncated,IHCF
Imperial fault,IMPF
Imperial fault-east branch,IMPE
Independence fault,INDF
Independence-Sierra Nevada fault,ISNF
Indian Hill fault,INHF
Indio Hills fault,INHF
Indiviso fault,INDF
Johnson Valley fault,JSVF
Joshua Tree sequence,JSTS
Kern Canyon fault,KRCF
Kettleman Hills blind fault,KTHF
Kickapoo fault,KCPF
La Panza fault,LPZF
Laguna Salada fault-east branch,LSFE
Laguna Salada fault-north,LSFN
Laguna Salada fault-south,LSFS
Laguna Salada fault-west branch,LSFW
Lake Isabella lineament,LIBF
Landers cross fault-north-I,LCF1
Landers cross fault-north-II,LCF2
Landers rupture detailed,LRDD
Landers-Barstow trend,LNBT
Las Cienagas fault,LCGF
Lavic Lake-North West Bullion fault,LLWB
Lenwood-Lockhart fault,LWLF
Lion Canyon fault,LNCF
Lion's Head fault,LNHF
Little Lake fault,LLKF
Little Pine fault,LPNF
Live Oak Canyon fault,LOCF
Lockwood Valley fault,LWVF
Loma Linda fault,LLNF
Lompoc blind ramp,LMPR
Long Canyon fault,LNCF
Los Alamos fault,LAMF
Los Osos fault,LOSF
Lost Hills blind fault,LSHF
Lower Elysian Park fault,LEPF
Ludlow fault,LDLF
