name,Alternative,source author,CFM Version,model description,Descriptor,Strike,Dip,Area,Exposure,Slip Sense,References,Reference Check,ID comments,USGS ID
BNRA-BMFZ-MULT-Black_Mountain_fault-CFM3,1,HRVD,CFM3,,,167.587,24.063,804367000,,,,,,142a-d
BNRA-NDVZ-MULT-Northern_Death_Valley_fault-CFM2,1,HRVD,CFM2,,,49.07,90,684475000,surface,orln,,,,141a-c
BNRA-SDVZ-MULT-Southern_Death_Valley_fault_vertical-CFM3,1,HRVD,CFM3,,,53.764,90,439679000,,,,,,143a-b
CRFA-BPPM-EAST-Big_Pine_fault-CFM4,1,CMDT,CFM4,,,82.921,66.7966,184187000,surface,llss,,,,86b
CRFA-BPPM-LKWV-Lockwood_Valley_fault-CFM2,1,HRVD,CFM2,,,248.814,82.0954,324668000,,,,,,86c
CRFA-BPPM-PMTS-Pine_Mountain_fault-CFM2,1,HRVD,CFM2,CFM2,,276.89466,41.9962,1314820000,,,,,,261
CRFA-BPPM-WEST-Big_Pine_fault-CFM2,1,HRVD,CFM2,North Branch,,273.71229,49.9112,157798000,surface,llss,,,,86a
CRFA-CSBL-CSML-Casmalia_fault-CFM4,1,HRVD,CFM4,,,122.248,65.7383,335352000,,,"Plesch et al., 2014",,,84
CRFA-CSBL-LALM-Los_Alamos_fault_steep-CFM5,2,CMDT,CFM5,steep,,120.157,60.2145,248828000,,,"Plesch et al., 2014",,,85
CRFA-CSBL-ORCT-Orcutt_blind_fault-CFM5,1,HRVD,CFM5,,,125.549,61.48,310925000,,,"Plesch et al., 2014",,,missing
CRFA-CSBL-PEZN-Pezzoni_Casmalia_fault_truncated-CFM5,1,HRVD,CFM5,,,120.971,72.6471,157878000,,,"Plesch et al., 2014",,,84
CRFA-CSBL-ZACA-Zaca_blind_fault-CFM5,1,HRVD,CFM5,,,110.631,48.9141,261669000,,,"Plesch et al., 2014",,,missing
CRFA-LMPZ-EAST-Lompoc_blind_ramp-CFM5,1,HRVD,CFM5,,,115.66,38.3638,389743000,,,"Plesch et al., 2014",,,missing
CRFA-LMPZ-WEST-Lompoc_blind_ramp-CFM5,1,HRVD,CFM5,,,108.168,39.4408,192769000,,,"Plesch et al., 2014",,,missing
CRFA-LNHZ-MULT-Lions_Head_fault-CFM4,1,HRVD,CFM4,,,304.4124,51.248,376249000,,,"Plesch et al., 2014",,,83
CRFA-LOSO-LSOS-Los_Osos_fault-CFM4,1,HRVD,CFM4,,,122.912,31.6629,357643000,,,"Plesch et al., 2014",,,79a-d
CRFA-LPNZ-MULT-La_Panza_fault-CFM4,1,HRVD,CFM4,,,315.7986,49.9156,1349320000,,,,,,78
CRFA-NAFZ-MULT-Nacimiento_fault_south-CFM2,1,HRVD,CFM2,,,313.5765,54.3205,1080940000,,,,,,missing
CRFA-OCNZ-HSNV-West_Huasna_fault-CFM5,1,CMDT,CFM5,,,328.271,73.3395,333034000,,,,,,371
CRFA-OCNZ-MULT-Oceanic_fault-CFM5,1,CMDT,CFM5,,,315.1971,61.3157,579199000,,,,,,352
CRFA-OCNZ-SLCN-Oceanic_backthrust_n-CFM4,1,HRVD,CFM4,,,125.007,43.0349,353321000,,,"Plesch et al., 2014",,,missing
CRFA-REHZ-EHSN-East_Huasna_fault-CFM4,1,UCSB,CFM4,,,148.971,90,512421000,,,,,,251
CRFA-REHZ-MULT-Rinconada_fault-CFM4,1,UCSB,CFM4,,,58.094,90,1086480000,,,,,,63a-c
CRFA-SCFZ-SCYM-South_Cuyama_fault-CFM3,1,HRVD,CFM3,,,118.527,34.949,471197000,,,,,,252
CRFA-SJMZ-CHMN-Big_Spring_fault_35dip-CFM5,1,CMDT,CFM5,35 dip,,300.4278,33.6226,516077000,,,,,,77
CRFA-SJMZ-MRLS-Morales_fault-CFM3,1,HRVD,CFM3,,,303.6944,18.1796,743314000,,,,,,491
CRFA-SJMZ-MULT-San_Juan_fault-CFM5,1,CMDT,CFM5,,,336.6235,64.0537,705506000,,,,,,77
CRFA-SLRS-LPNS-Little_Pine_fault-CFM5,1,CMDT,CFM5,,,311.6624,41.821,374986000,,,,,,255
CRFA-SLRS-MULT-San_Luis_Range_fault_system-CFM4,1,HRVD,CFM4,,,,,907684000,,,"Plesch et al., 2014",,,82
CRFA-SLRS-SHRL-Shoreline_fault-CFM4,1,HRVD,CFM4,,,,,302152000,,,"Plesch et al., 2014",,,missing
CRFA-SLRS-SLBS-San_Luis_Bay_fault-CFM4,1,HRVD,CFM4,,,99.994,88.3676,163103000,,,"Plesch et al., 2014",,,82
CRFA-SLRS-SYNV-Santa_Ynez_Valley_blind_fault-CFM5,1,CMDT,CFM5,,,304.2142,74.7225,480006000,,,"Plesch et al., 2014",,,missing
ETRA-BBFS-1992_Big_Bear_rupture-CFM2,1,HRVD,CFM2,,,270,,714105000,,,,,,missing
ETRA-BCFZ-MULT-Blue_Cut_fault-CFM5,1,UCSB,CFM5,,,87.465,89.003,984451000,,llss,,,,290
ETRA-CHRC-STWS-Smoketree_Wash_fault_vertical-CFM5,1,CMDT,CFM5,historal precedent is Chiriaco fault,,171.839,90,331448000,,,,,,395
ETRA-CLGZ-NCHS-Grass_Valley_fault_steep-CFM5,1,UCSB,CFM5,,,87.915,76.2268,178845000,,,,,,108b
ETRA-CLGZ-SBMT-Tunnel_Ridge_Arrastre_Canyon_fault_steep-CFM5,2,UCSB,CFM5,,,,,,,,,,,326+327
ETRA-CLGZ-SCHS-Cleghorn_fault_steep-CFM5,1,UCSB,CFM5,,,96.673,77.0694,298709000,surface,llss,,,,108a
ETRA-LSBM-1992_Joshua_Tree_sequence-CFM5,1,CMDT,CFM5,,,178.119,89.6577,258381000,,,,,,395
ETRA-LSBM-LGCS-Long_Canyon_fault-CFM5,1,UCSB,CFM5,,,356.1076,85.9938,168356000,,,,,,337
ETRA-LSBM-MULT-Burnt_Mountain_East_Wide_Canyon_fault-CFM5,1,UCSB,CFM5,,,174.522,88.8709,315556000,surface,rlss,,,,119
ETRA-LSBM-MULT-Eureka_Peak_West_Deception_Canyon_fault-CFM5,1,UCSB,CFM5,,,166.673,88.4476,363017000,surface,rlss,,,,120
ETRA-NFTS-DTMT-Deep_detachment-CFM5,1,UCSB,CFM5,,,74.486,11.0858,1254440000,,,,,,missing
