name,Source/Author,Last Update,Avg Strike,Avg Dip,Area [km^2],Exposure,Slip Sense,ID Comments,USGS ID,Fault Strand/Model Description,References
BNRA-BMFZ-MULT-Black_Mountain_fault-CFM3,HRVD,CFM3,168,24,804.37,surface,orln,,142a-d,,"Machette et al., 2003 (USGS Open File Report), Bryant, 2005+updates"
BNRA-NDVZ-MULT-Northern_Death_Valley_fault-CFM2,HRVD,CFM2,321,90,684.48,surface,rlss,,141a-c,,"Machette et al., 2003 (USGS Open File Report), Bryant, 2005+updates"
BNRA-SDVZ-MULT-Southern_Death_Valley_fault-CFM6,HRVD,CFM6,311,49,628.79,surface,orln,,143a-b,"Originally developed in CFM2, now a preferred fault in CFM6.","Burchfiel et al., 1987; Chavez-Perez et al., 1998; Gold et al., 2020; Hayman et al., 2003"
CRFA-BPPM-EAST-Big_Pine_fault-CFM4,CMDT,CFM4,92,70,184.19,surface,ollr,,86b,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2013"
CRFA-BPPM-LKWV-Lockwood_Valley_fault-CFM2,HRVD,CFM2,248,81,324.67,surface,ollr,,86c,,"Onderdonk et al., 2005 (Tectonics)"
CRFA-BPPM-PMTS-Pine_Mountain_fault-CFM2,HRVD,CFM2,276,44,1314.82,surface,ollr,,261,CFM2 Model,"Namson & Davis, 1990 (AAPG Bull.)"
CRFA-BPPM-WEST-Big_Pine_fault-CFM2,HRVD,CFM2,274,50,245.49,surface,ollr,,86a,North Branch,"Onderdonk et al., 2005 (Tectonics)"
CRFA-CSBL-CSML-Casmalia_fault-CFM4,HRVD,CFM4,125,76,335.35,surface,orlr,,84,,"Nicholson et al., 2013; Plesch et al., 2014"
CRFA-CSBL-LALM-Los_Alamos_fault-CFM5,CMDT,CFM5,122,60,248.83,surface,orlr,,85,steep model,"Plesch et al., 2014"
CRFA-CSBL-ORCT-Orcutt_blind_fault-CFM5,HRVD,CFM5,128,63,310.93,blind,orlr,,missing,,"Plesch et al., 2014"
CRFA-CSBL-PEZN-Pezzoni_Casmalia_fault-CFM5,HRVD,CFM5,120,75,157.88,surface,orlr,,84,Partially truncated by the Lompoc blind ramp fault at depth,"Plesch et al., 2014"
CRFA-CSBL-ZACA-Zaca_blind_fault-CFM5,HRVD,CFM5,111,48,261.67,blind,orlr,,missing,,"Plesch et al., 2014"
CRFA-LMPZ-EAST-Lompoc_blind_ramp-CFM5,HRVD,CFM5,118,39,389.74,blind,orlr,,missing,,"Plesch et al., 2014"
CRFA-LMPZ-WEST-Lompoc_blind_ramp-CFM5,HRVD,CFM5,108,39,192.77,blind,orlr,,missing,,"Plesch et al., 2014"
CRFA-LNHZ-MULT-Lions_Head_fault-CFM4,HRVD,CFM4,297,75,376.25,surface,orlr,,83,,"Plesch et al., 2014"
CRFA-LOSO-LSOS-Los_Osos_fault-CFM4,HRVD,CFM4,118,45,357.64,surface,orlr,,79a-d,,"Plesch et al., 2014"
CRFA-LPNZ-MULT-La_Panza_fault-CFM4,HRVD,CFM4,316,48,1349.32,surface,orlr,,78,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2013"
CRFA-NAFZ-MULT-Nacimiento_fault_south-CFM2,HRVD,CFM2,312,64,1080.94,surface,orlr,,missing,,"Namson & Davis, 1990 (AAPG Bull.)"
CRFA-OCNZ-HSNV-West_Huasna_fault-CFM5,CMDT,CFM5,328,79,333.03,surface,orlr,,371,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2017"
CRFA-OCNZ-MULT-Oceanic_fault-CFM5,CMDT,CFM5,314,64,579.2,surface,orlr,,352,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2017"
CRFA-OCNZ-SLRN-Oceanic_backthrust-CFM4,HRVD,CFM4,124,42,353.32,blind,orlr,,missing,,"Plesch et al., 2014"
CRFA-REHZ-EHSN-East_Huasna_fault-CFM4,UCSB,CFM4,324,90,512.42,surface,rlss,,251,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2013"
CRFA-REHZ-MULT-Rinconada_fault-CFM4,UCSB,CFM4,147,82,1086.48,surface,rlss,,63a-c,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2013"
