name,abb
Basin and Range Area,BNRA
Cascadia Fault Area,CASC
Coast Ranges Fault Area,CRFA
Eastern Transverse Ranges Area,ETRA
Garlock Fault System,GRFS
Great Valley Fault Area,GVFA
Klamath Mountains Fault Area,KLMT
Mojave Fault Area,MJVA
North Coast Fault Area,NCST
Northern Coast Ranges Fault Area,NCRA
Offshore Central California Area,OCCA
Offshore Continental Borderland Area,OCBA
Peninsular Ranges Area,PNRA
Salton Trough Fault Area,SALT
San Andreas Fault System,SAFS
San Franciso Bay Area,SFBY
Sierra Nevada Fault Area,SNFA
Sierra Nevada-Long Valley Area,SNLV
Western Transverse Ranges Area,WTRA
