name,abb
1992 Big Bear rupture,1992
1992 Joshua Tree rupture,1992
Agua Caliente,AGCT
Alexander Valley-Redwood Hill,AVRH
Allicito Mountains,ALCM
Anacapa-Dume,ANCP
Anacapa Passage,ANCP
Antelope Valley,ANTV
Anza,ANZA
Ash Hill,ASHH
Bald Mountain,BLDM
Baldwin Hills,BLDH
Battle Creek,BTLC
Bennett Valley,BNTV
Bicycle Lake,BCYL
Big Blue Hills,BBLH
Big Sur,BGSR
Big Tujunga,BTJG
Borrego Mountain,BRMT
Brawley Seismic Zone,BRSZ
Brawley Seismic Zone,BSZS
Burnt Mountain,BRMT
Cady,CADY
Camp Rock,CMPR
Canada David,CDVD
Cape Mendocino offshore,PCFC
Carrizo,CRRZ
Carson Valley,CRVL
Casmalia,CSML
Catalina Basin,CTLB
"Cedar Mountain, west",CDMT
Central,CNTR
Cerro Prieto basin,CRPB
Chimineas,CHMN
Chino,CHNO
Chino Hills,CHNH
Cholame,CHLM
Clamshell-Sawpit,CSPC
Cleghorn Lake,CLGL
Coachella,COAV
Coalinga,COAL
Collayomi Valley,CLYV
Contra Costa,CNCS
Copper Mountain,CPMT
Coronado Bank,CRBS
Coso,COSO
Coso Junction,COSJ
Coyote Creek,CYTC
Coyote Hills,COYT
Coyote Lake,CYTL
Coyote Mountain,CYMT
Crafton Hills fault zone,CHFZ
creeping section,CRPG
Cross,CRSS
Cucamonga,CCMG
Dana Point section,DANA
Davies Valley,DVSV
Deep Springs,DPSP
Delta CGS NSHMP Section 5,DlS5
Detachment,DTMT
Diablo Range CGS NSHMP Section 6,DRS6
Dunnigan Hills,DNGH
East Bullion,EBLS
East,EAST
Eastern Big Pine,EAST
Eastern,EAST
Eastern Monterey Bay,EMBY
Eastern San Bernardino Mtns,SBMT
Eastern splay,EAST
Eastern splay-south,EAST
East Huasna,EHSN
East Santa Cruz Basin,ESCB
Eel River,EELR
Elk Creek,ELKC
El Mayor-Cucapah,EMCP
Emerson,EMRS
English Hills,ENGH
Eureka offshore,EROF
Eureka Peak,ERPK
Fish Slough,FSSL
"frontal, basal section",FRNT
Funks,FNKS
Garlic Springs,GRLS
Gillem Bluff,GLLM
Glen Ivy,GLIV
Golden Gate,GLGT
Goldstone Lake,GLDS
Goose Lake,GSLK
Granite Mountains,GNTM
Gravel Hills,GVHS
Gravel Hills-Harper Lake,MULT
"Gualala, offshore",OFFG
Haiwee Reservoir,HWRS
Harper Valley,HPVS
Hartley Springs,HRSP
Hat Creek Rim,HCRM
Hayward,HYWD
Hilton Creek,HLCR
Hollister Valley,HLLV
Homestead Valley,HMSV
Honey Lake,HNLK
Hot Springs,HOTS
Huasna Valley,HSNV
Hunter Mtn-Saline Valley,MULT
Huntington Beach,HNTB
Icehouse Canyon,ICHC
Imperial Valley,IMPV
Incline Village,INCV
Independence-Haiwee Reservoir,MULT
Independence,INDP
Indiviso,INDV
Julian,JULN
Keddie Ridge,KDRD
Kern Canyon,KRCN
Kettleman Hills,KTLM
Klamath Falls east,KLFE
Klamath Falls west,KLFW
Laguna Salada,LGSD
Laguna Seca,LGSC
Lake Almanor,LKAL
Lake Beryessa,LKBY
Lake Isabella,LISA
Landers cross faults,1992
Landers rupture,1992
Likely,LKLY
Little Pine,LPNS
"Little Salmon Creek, and east",MULT
Little San Bernardino Mts,LSBM
Livermore Valley,LVRV
Lockwood Valley,LKWV
Long Canyon,LGCS
Los Alamos,LALM
Los Angeles Basin,LABS
Los Medanos - Roe Island,LMRI
Los Osos,LSOS
Lost Hills,LSTH
Ludlow,LDLW
Mad River,MDRV
Main-central strand,MAIN
Manix,MANX
Mayfield,MAYF
McArthur,MCAR
Mecca Hills,MCHS
Mesquite Lake,MSQL
Mid Delta,MIDD
Mid,MIDS
Mission Hills,MSNH
Mohawk Valley,MHWV
Mojave,MJVS
Monocline Ridge,MNCR
Mono Lake,MNLK
Montara Mt.,MNTM
Monterey Bay - Carmel Valley,MBCV
Morales,MRLS
Morongo Valley,MRVS
Mount Rose,MTRS
Mt. Diablo,MTDB
Multiple-Los Angeles basin,LABS
Multiple sections,MULT
Multiple sections-offshore,RSCN
MULT,MULT
Murietta-Hot Springs,MRHS
Mysterious Ridge,MYSR
Napa,NAPA
North Channel,NCHN
North Coast,NCST
North-Eastern,NEST
Northern Bullion Mountains,NBMS
Northern Cleghorn,NCHS
Northern Coronado Bank,NCBF
Northern Davies Valley,NDVS
Northern Panamint-Brown Mtn,MULT
northern Peninsular,NPEN
Northern section,NRTH
North of Piedras Blancas,NPDB
North Peavine Mountain,NPVM
North-South Johnson Valley,MULT
North Tahoe,NTAH
North-Western,NWST
Oceanside,OCNS
Oceanside section,OCNS
Ocotillo,OCOT
offshore Cambria,OFFC
Offshore-Mid-Channel trend,OFFS
Offshore Point Reyes,OFPR
Orcutt,ORCT
Orestimba,ORST
Orland,ORLN
Oxnard Plain,OXNP
Painted Gorge Wash,PGWS
Palomas,PLMS
Palos Verdes Anticlinorium,PVAS
Palos Verdes,PVDS
Panoche Hills,PNCH
Paradise,PRDS
Parkfield,PARK
"Peninsular, Loma Prieta",PLPR
Peralta Hills,PRTH
Petrolia,1992
Pezzoni-Casmalia,PEZN
Piedras Blancas,PDBL
Pine Mountain,PMTS
Pisgah-West_Bullion,MULT
Pitas Point-Ventura,PPTV
Pittsburg-Kirby Hills,PBKH
Pittville,PTVL
Puente Hills,PHLS
Quinto,QNTO
Red Mountain,RDMT
Redondo Canyon,RDNC
Red Pass,RDPS
