name,abb
Agua Tibia-Earthquake Valley fault zone,ATEV
Airport Lake fault zone,ALFZ
Ash Hill-Tank Canyon fault system,AHTC
Bald Mountain-Big Lagoon-Mad River fault zone,BMMR
Bartlett Springs-Round Valley-Lake Mountain Fault System,BSLM
Battle Creek Fault Zone,BCFZ
Big Bear Fault system,BBFS
Big Pine-Pine Mountain fault zone,BPPM
Black Mountain fault zone,BMFZ
Blackwater fault zone,BWFZ
Blue Cut fault zone,BCFZ
Brawley Seismic Zone,BRSZ
Butano Fault Zone,BTFZ
Calico-Hildalgo fault zone,CHFZ
Camp Rock-Emerson-Copper Mountain fault zone,CREC
Carson Valley-Antelope Valley Fault Zone,CVAV
Cascadia Megathrust,CASC
Casmalia-Baseline fault system,CSBL
Cedar Mountain fault zone,CDMZ
Central Great Valley Thrust System,CGVT
Cerro Prieto fault zone,CPFZ
Chiriaco fault zone,CHRC
Cleghorn fault zone,CLGZ
Coastal Faults,CSTF
Collayomi Fault Zone,CYFZ
Compton-Lower Elysian Park fault system,CLEP
Concord-Green Valley Fault Zone,CNGV
Coronado Bank Detachment,CBKD
Coronado Bank fault zone,CBFZ
Coso Junction fault zone,CJFZ
Cross Faults,CRSF
Davies Valley fault zone,DVVZ
Delta-Contraction,DLCF
Descanso fault system,DSCS
Eastern California shear zone,ECSZ
East Santa Cruz Basin fault system,ESCS
Eaton Roughs-Mule Ridge Fault Zone,ERMR
Elsinore-Laguna Salada fault zone,ELSZ
Ferrelo fault zone,FRFZ
Foothills Fault System,FHFS
Garberville-Briceland Fault Zone,GVBL
Garlock fault zone,GRFZ
Gillem-Bigcrack fault system,GLBC
Goldstone Lake-Paradise fault system,GLPS
Greenville Fault Zone,GVFZ
Harper fault zone,HPFZ
Hat Creek-Mayfield fault zone,HCMF
Healdsburg-Rogers Creek fault zone,HBRC
Helendale-South Lockhart fault zone,HSLZ
Hosgri Fault Zone,HSFZ
Hosgri-San Simeon fault zone,HSFZ
Hot Springs-San Felipe fault zone,HSSF
Hunter Mountain fault zone,HMFZ
Imperial fault zone,IMFZ
Incline Village-Mount Rose-Peavine Mountain Fault Zone,IVPM
Inner Borderland fault system,IBFS
Johnson Valley-Homestead Valley fault zone,JVHZ
Kern Canyon fault system,KRCS
King Range Thrust Zone,KRTZ
Klamath Graben fault system,KLGR
Lake Almanor-Mohawk Valley Fault Zone,LAMV
La Panza fault zone,LPNZ
Las Positas Fault Zone,LPFZ
Lavic Lake-Bullion Mountains fault zone,LLBM
Lenwood-Lockhart fault zone,LWLZ
Likely fault zone,LKFZ
Lions Head fault zone,LNHZ
Little Lake fault zone,LLFZ
Little Salmon fault zone,LSLM
Little San Bernadino Mountains fault region,LSBM
Lompoc Fault Zone,LMPZ
Los Osos fault system,LOSO
Ludlow-Cleghorn Lake fault zone,LCLZ
Maacama Fault Zone,MCMA
Mecca Hills-Hidden Springs fault zone,MHFZ
Mendocino Transform fault zone,MNDC
Mission Ridge fault system,MRFS
Mono Valley-Long Valley-Round Valley Fault Zone,MLRV
Monterey Bay-Tularcitos Fault Zone,MBTL
Mt. Diablo Fault Zone,MDFZ
Nacimiento fault zone,NAFZ
Napa-Calaveras-Roger Creek-Hayward Fault Zone,NCRH
Napa-Calaveras-Rogers Creek-Hayward Fault Zone,NCRH
Newport-Inglewood-Rose Canyon fault zone,NIRC
North Channel-Ventura fault system,NCVS
Northeast Mojave faults,NEMV
Northern Baja detachments,NBJD
Northern Death Valley Fault Zone,NDVL
Northern Death Valley fault zone,NDVZ
Northern Great Valley Thrust System,NGVT
North Frontal thrust system,NFTS
Oak Ridge fault zone,ORFZ
Oceanic fault zone,OCNZ
Oceanside Detachment,OCSD
Offshore Santa Maria Basin system,OSMB
Owens Valley fault zone,OVFZ
Palos Verdes fault zone,PVFZ
Panamint Valley fault zone,PMVZ
Petrolia 1992 rupture,MNDC
Piedras Blancas Blind Thrust,PBBT
Pinto Mountain fault zone,PMFZ
Pisgah-Bullion-Mesquite Lake fault zone,PBMZ
Pleito fault zone,PLFZ
Polaris-West Tahoe Fault Zone,PLWT
Puente Hills Thrust system,PHTS
Rinconada-East Huasna fault system,REHZ
Russ-Ferndale fault zone,RSFD
San Andreas fault zone,SAFZ
San Andreas Fault Zone,SAFZ
San Bernardino Mountains fault region,SBMT
San Cayetano fault zone,SCFZ
San Clemente fault zone,SCLZ
San Diego Trough fault zone,SDTZ
San Fernando fault system,SFNS
San Gabriel fault zone,SGFZ
San Gabriel Mountain faults,SGMF
San Gorgonio Pass fault region,SGPR
San Gregorio Fault Zone,SGFZ
San Jacinto fault zone,SJFZ
San Juan-Morales fault zone,SJMZ
San Luis Range fault system,SLRS
San Mateo-San Onofre-Carlsbad fault system,SMCS
San Pedro Basin fault zone,SPBZ
San Pedro Escarpment fault system,SPES
Santa Ana fault zone,SANA
Santa Barbara Channel faults,SBCF
Santa Cruz-Catalina Ridge fault system,SCCR
Santa Lucia Bank fault system,SLBS
Santa Monica Bay fault system,SMBS
Santa Susana fault zone,SSFZ
Santa Ynez fault zone,SYFZ
Santa Ynez River fault zone,SYRZ
Sierra Madre fault zone,SMFZ
Simi-Santa Rosa fault zone,SSRZ
Sisar-Padre Juan fault system,SPJS
South Cuyama-Ozena fault zone,SCMZ
Southern Boundary thrust system,SBTS
Southern Death Valley fault zone,SDVZ
Southern Frontal fault system,SFFS
Southern Sierra Nevada fault zone,SSNZ
Surprise Valley-Goose Lake fault zone,SVGL
Temblor-Diablo Range thrust system,TDRS
Upper Santa Ana Valley fault system,USAV
Warm Springs-Honey Lake Fault Zone,WSHL
White Mountains-Owens Valley Fault Zone,MLRV
White Wolf fault zone,WWFZ
Wilmington Blind Fault System,WBFS
Zayante-Vergeles Fault Zone,ZYVG
