CFM7.0 Rupture Object Name,Fault Area/Major Fault System,Code,Fault Zone/Region,Code,Fault Section,Code,Fault Name,Source/Author,Last Update,wAvgStrike,wAvgDip,Area [km^2],Exposure,Slip Sense,ID Comments,USGS ID,Fault Strand/Model Description,References,,,,,
BNRA: BASIN AND RANGE AREA,,,,,,,,,,,,,,,,,,,,,,,
N/A,,,,,,,,,,,,,,,,,,,,,,,
CASC: CASCADIA AREA,,,,,,,,,,,,,,,,,,,,,,,
N/A,,,,,,,,,,,,,,,,,,,,,,,
CRFA: COAST RANGES FAULT AREA,,,,,,,,,,,,,,,,,,,,,,,
N/A,,,,,,,,,,,,,,,,,,,,,,,
ETRA: EASTERN TRANSVERSE RANGES AREA,,,,,,,,,,,,,,,,,,,,,,,
ETRA-BBFS-1992-Big_Bear_rupture-RUP6,Eastern Transverse Ranges Area,ETRA,Big Bear Fault system,BBFS,1992 Big Bear rupture,1992,Big Bear - 1992 rupture,HRVD,CFM6,71,90,714.11,blind,llss,,missing,relocated seismicity,"Hauksson & Shearer 2005 (BSSA), Plesch et al. (2007)",,,,,
ETRA-LSBM-1992-Joshua_Tree_sequence-RUP6,Eastern Transverse Ranges Area,ETRA,Little San Bernadino Mountains fault region,LSBM,1992 Joshua Tree rupture,1992,Joshua Tree - 1992 sequence,CMDT,CFM6,179,90,258.38,blind,rlss,,395,relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2012",,,,,
GRFS: GARLOCK FAULT SYSTEM,,,,,,,,,,,,,,,,,,,,,,,
N/A,,,,,,,,,,,,,,,,,,,,,,,
GVFA: GREAT VALLEY FAULT AREA,,,,,,,,,,,,,,,,,,,,,,,
N/A,,,,,,,,,,,,,,,,,,,,,,,
GVFA: GREAT VALLEY FAULT AREA,,,,,,,,,,,,,,,,,,,,,,,
N/A,,,,,,,,,,,,,,,,,,,,,,,
KLMT: KLAMATH MOUNTAINS AREA,,,,,,,,,,,,,,,,,,,,,,,
N/A,,,,,,,,,,,,,,,,,,,,,,,
MJVA: MOJAVE FAULT AREA,,,,,,,,,,,,,,,,,,,,,,,
MJVA-ECSZ-1992-Barstow_Trend-RUP6,Mojave Fault Area,MJVA,Eastern California shear zone,ECSZ,Landers rupture,1992,Landers-Barstow trend - 1992 rupture,CMDT,CFM6,341,90,114.44,blind,rlss,,missing,relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Plesch et al., 2014; Nicholson et al., 2014",,,,,
MJVA-ECSZ-1992-Landers_cross_fault_North_II-RUP6,Mojave Fault Area,MJVA,Eastern California shear zone,ECSZ,Landers cross faults,1992,Landers cross fault-north-II - 1992 rupture,CMDT,CFM6,269,89,199.25,blind,llss,,missing,relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Plesch et al., 2014; Nicholson et al., 2014",,,,,
