name,Source/Author,Last Update,wAvgStrike,wAvgDip,TotalArea(km^2),Exposure,Slip Sense,ID Comments,USGS ID,Fault Strand/Model Description,References
ETRA-BBFS-1992-Big_Bear_rupture-RUP6,HRVD,CFM6,71,90,714.11,blind,llss,,missing,relocated seismicity,"Hauksson & Shearer 2005 (BSSA), Plesch et al. (2007)"
ETRA-LSBM-1992-Joshua_Tree_sequence-RUP6,CMDT,CFM6,179,90,258.38,blind,rlss,,395,relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2012"
MJVA-ECSZ-1992-Barstow_Trend-RUP6,CMDT,CFM6,341,90,114.44,blind,rlss,,missing,relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Plesch et al., 2014; Nicholson et al., 2014"
MJVA-ECSZ-1992-Landers_cross_fault_North_II-RUP6,CMDT,CFM6,269,89,199.25,blind,llss,,missing,relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Plesch et al., 2014; Nicholson et al., 2014"
MJVA-ECSZ-1992-Landers_cross_fault_North_I-RUP6,CMDT,CFM6,80,77,112.27,blind,llss,,missing,relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Plesch et al., 2014; Nicholson et al., 2014"
MJVA-ECSZ-1992-Landers_rupture_detailed_splays-RUP6,HRVD,CFM6,152,90,1559.38,surface,orlr,,,,"Pollitz & Stacks 2002 (BSSA), Bryant 2005+updates, Hauksson et al., 2012+updates"
MJVA-ECSZ-1999-Hector_Mine_rupture-RUP6,HRVD,CFM6,339,85,899.81,surface,rlss,,,,"Pollitz & Stacks 2002 (BSSA), Bryant 2005+updates, Hauksson et al., 2012+updates"
PNRA-EMCP-2010-El_Mayor_Cucapah_rupture-RUP6,HRVD,CFM6,340,55,3400.37,surface,orln,,multiple ids,2010 El Mayor ruptured segments,"Hauksson et al., 2010, 2011; Nicholson et al., 2011, 2012; Also see references for the individual segments"
SAFS-SAFZ-1812-San_Andreas_fault_rupture-RUP6,UCSB,CFM6,304,87,2837.02,surface,rlss,,1h + 125a,Lozos 1812 rupture model,"Lozos, 2016 (Science)"
SAFS-SAFZ-1857-San_Andreas_fault_rupture-RUP6,UCSB,CFM6,122,74,4771.06,surface,rlss,,1 f-h,,"Wood, 1955 (BSSA), Scharer et al., 2014, (GRL)"
SNFA-LLFZ-2019-Ridgecrest_ruptures-RUP6,HRVD,CFM6,352,87,2817.84,surface,"rlss,llss",,72,fault segments ruptured in 2019 Ridgecrest sequence,"Hauksson et al., 2012+updates; Plesch et al. 2020 (SCEC)"
SNFA-OVFZ-1872-Owens_Valley_fault_rupture-RUP6,HRVD,CFM6,162,90,1056.77,surface,orln,,51b,,"Beanland & Clark, 1994 (USGS Bull), Bryant, 2005+updates"
WTRA-ORFZ-1994-Northridge_Frew_fault-RUP6,HRVD,CFM6,119,35,859.59,blind,r,propose 94c,,"Carena & Suppe (2002) model for middle heart-shaped portion, edges of fault from Hudnut et al. 1996","Carena & Suppe, 2002 (JSG); Hudnut et al., 1996 (BSSA)"
