name,abb
1812 Rupture-Mojave SAF+nSJF,1812
1857 Rupture-Parkfield-Mojave,1857
1872 Owens Valley rupture,1872
1992 Big Bear rupture,1992
1992 Joshua Tree rupture,1992
1992 Landers rupture,1992
1992 Landers rupture cross faults,1992
1999 Hector Mine rupture,1999
2010 El Mayor-Cucapah rupture,2010
2019 Ridgecrest Ruptures,2019
Agua Caliente,AGCT
Allicito Mountains,ALCM
Anacapa-Dume,ANCP
Anacapa Passage,ANCP
Anza,ANZA
Ash Hill,ASHH
Baldwin Hills,BLDH
Bicycle Lake,BCYL
Big Tujunga,BTJG
Borrego Mountain,BRMT
Brawley Seismic Zone,BRSZ
Brawley Seismic Zone,BSZS
Burnt Mountain,BRMT
Cady,CADY
Camp Rock,CMPR
Canada David,CDVD
Carrizo,CRRZ
Casmalia,CSML
Catalina Basin,CTLB
Central,CNTR
Cerro Prieto basin,CRPB
Chimineas,CHMN
Chino,CHNO
Chino Hills,CHNH
Cholame,CHLM
Clamshell-Sawpit,CSPC
Cleghorn Lake,CLGL
Coachella,COAV
Coalinga,COAL
Copper Mountain,CPMT
Coronado Bank,CRBS
Coso,COSO
Coso Junction,COSJ
Coyote Creek,CYTC
Coyote Hills,COYT
Coyote Lake,CYTL
Coyote Mountain,CYMT
Coyote Mountains,CYMT
Crafton Hills fault zone,CHFZ
Cross,CRSS
Cucamonga,CCMG
Dana Point section,DANA
Davies Valley,DVSV
Detachment,DTMT
East Bullion,EBLS
Eastern Big Pine,EAST
Eastern,EAST
Eastern San Bernardino Mtns,SBMT
Eastern splay,EAST
Eastern splay - south,EAST
East Huasna,EHSN
East Santa Cruz Basin,ESCB
El Mayor-Cucapah,EMCP
Emerson,EMRS
Eureka Peak,ERPK
Garlic Springs,GRLS
Glen Ivy,GLIV
Goldstone Lake,GLDS
Granite Mountains,GNTM
Gravel Hills,GVHS
Gravel Hills-Harper Lake,MULT
Haiwee Reservoir,HWRS
Harper Valley,HPVS
Homestead Valley,HMSV
Hot Springs,HOTS
Huasna Valley,HSNV
Hunter Mtn-Saline Valley,MULT
Huntington Beach,HNTB
Icehouse Canyon,ICHC
Imperial Valley,IMPV
Independence-Haiwee Reservoir,MULT
Independence,INDP
Indiviso,INDV
Julian,JULN
Kern Canyon,KRCN
Kettleman Hills,KTLM
Laguna Salada,LGSD
Lake Isabella,LISA
Little Pine,LPNS
Little San Bernardino Mts,LSBM
Lockwood Valley,LKWV
Long Canyon,LGCS
Los Alamos,LALM
Los Angeles Basin,LABS
Los Osos,LSOS
Lost Hills,LSTH
Ludlow,LDLW
Main-central strand,MAIN
Manix,MANX
Mecca Hills,MCHS
Mesquite Lake,MSQL
Mission Hills,MSNH
Mojave,MJVS
Morales,MRLS
Morongo Valley,MORV
Multiple-Los Angeles basin,LABS
Multiple sections,MULT
Multiple sections-offshore,RSCN
Murietta-Hot Springs,MRHS
North Channel,NCHN
North-Eastern,NEST
Northern Cleghorn,NCHS
Northern Coronado Bank,NCBF
Northern Davies Valley,NDVS
Northern Panamint-Brown Mtn,MULT
Northern section,NRTH
North-South Johnson Valley,MULT
North-Western,NWST
Oceanside,OCNS
Oceanside section,OCNS
Ocotillo,OCOT
Offshore-Mid-Channel trend,OFFS
Offshore,OFFS
Orcutt,ORCT
Oxnard Plain,OXNP
Painted Gorge Wash,PGWS
Palomas,PLMS
Palos Verdes,PVDS
Paradise,PRDS
Parkfield,PARK
Peralta Hills,PRTH
Pezzoni-Casmalia,PEZN
Pine Mountain,PMTS
Pisgah-West_Bullion,MULT
Pitas Point-Ventura,PPTV
Puente Hills,PHLS
Red Mountain,RDMT
Redondo Canyon,RDNC
Red Pass,RDPS
Richfield,RICH
Rose Canyon transfer,RCNT
Rose Valley,ROSE
Salton Sea,SLTS
San Antonio Canyon,SANC
San Bernardino-Coachella Valley,MULT
San Bernardino Mountains,SBMT
San Bernardino,SBRN
San Clemente Basin region,SCBR
San Clemente Island,SCLI
San Fernando Valley,SFNV
San Gabriel Valley,SGVS
San Gorgonio Pass,SGPS
San Jacinto Mountains,SJMT
San Jacinto Valley,SJCV
San Joaquin Hills,SJQH
San Luis Bay,SLBS
San Mateo,SMTO
San Pedro Basin-San Diego Trough,STHS
San Pedro Basin,SPBS
Santa Barbara Island area,SBRI
Santa Catalina Island,SCTI
Santa Clarita Valley,SCLV
Santa Cruz Is-Anacapa,MULT
Santa Cruz Island,SNCZ
Santa Lucia Range-North,SLRN
Santa Monica Bay-San Pedro Basin,NTHS
Santa Monica Bay,SMBS
Santa Monica Bay,SMBY
Santa Monica Bay,SMNB
Santa Monica Mountains,SMMT
Santa Rosa Ridge,SRRS
Santa Rosa-San Miguel Islands,SRSM
Santa Ynez Valley,SYNV
Sante Fe Springs,STFS
Shoreline,SHRL
Sierra Cucapah,SRCP
Sierra Madre-Clamshell Canyon,SMCC
Sierra Madre D section,SMDD
Sierra Madre E section,SMDE
Smoketree Wash,STWS
South Cuyama,SCYM
Southern Cleghorn,SCHS
Southern Coronado Bank,SCBF
Southern Johnson Valley,SJVS
Southern,SOUT
Southern,STHN
Stoddard Canyon,STDC
Sulphur Mountain,SPMT
Superstition Hills,SSHS
Superstition Mountain,SSMT
Tank Canyon,TANK
Temecula,TMCL
Thirtymile Bank,30MB
Tiefort Mountains,TFMT
TopaTopa Mountains,TOPA
Torrance,TRNC
Upper San Gabriel River,USGR
Upper Santa Ana Valley,USAV
Ventura basin,VNTB
Verdugo Mountains,VRDM
West Calico section,WCLS
Western Big Pine,WEST
Western splay - north,WEST
Western splay,WEST
Western,WEST
Whittier,WHIT
Wilmington,WLMT
Yuha Desert,YUHA
Zaca,ZACA
