domain,xcoord,ycoord
Peninsular Range (E),-114.53244,29.43361
Peninsular Range (E),-114.53357,29.43354
Peninsular Range (E),-114.76471,29.77403
Peninsular Range (E),-115.07665,30.28000
Peninsular Range (E),-115.34386,30.82946
Peninsular Range (E),-115.56032,31.22037
Peninsular Range (E),-115.65887,31.34047
Peninsular Range (E),-115.74665,31.50646
Peninsular Range (E),-115.85837,31.65968
Peninsular Range (E),-116.02277,31.83525
Peninsular Range (E),-116.06746,31.92941
Peninsular Range (E),-116.10257,32.02996
Peninsular Range (E),-116.15684,32.16722
Peninsular Range (E),-116.34357,32.42738
Peninsular Range (E),-116.40901,32.53272
Peninsular Range (E),-116.51914,32.70988
Peninsular Range (E),-116.59575,32.85033
Peninsular Range (E),-116.68353,33.00196
Peninsular Range (E),-116.73620,33.12326
Peninsular Range (E),-116.77862,33.21028
Peninsular Range (E),-116.80260,33.25934
Peninsular Range (E),-116.77099,33.24516
Peninsular Range (E),-116.78843,33.26588
Peninsular Range (E),-116.80478,33.31384
Peninsular Range (E),-116.85275,33.37489
Peninsular Range (E),-116.91597,33.45774
Peninsular Range (E),-116.91597,33.45883
Peninsular Range (E),-116.92955,33.49738
Peninsular Range (E),-116.95730,33.54297
Peninsular Range (E),-116.99793,33.62621
Peninsular Range (E),-117.02766,33.69360
Peninsular Range (E),-117.05145,33.76892
Peninsular Range (E),-117.08712,33.86505
Peninsular Range (E),-117.06334,33.84919
Peninsular Range (E),-117.03559,33.82937
Peninsular Range (E),-117.01181,33.79766
Peninsular Range (E),-116.99199,33.78478
Peninsular Range (E),-116.95532,33.77288
Peninsular Range (E),-116.90577,33.74414
Peninsular Range (E),-116.92361,33.79270
Peninsular Range (E),-116.95433,33.84721
Peninsular Range (E),-116.97117,33.89280
Peninsular Range (E),-116.99595,33.94334
Peninsular Range (E),-117.00586,33.98598
Peninsular Range (E),-117.00147,33.98451
Peninsular Range (E),-116.99384,33.98092
Peninsular Range (E),-116.94902,33.97040
Peninsular Range (E),-116.93432,33.96104
Peninsular Range (E),-116.93219,33.96024
Peninsular Range (E),-116.93053,33.95962
Peninsular Range (E),-116.92927,33.95915
Peninsular Range (E),-116.92674,33.95836
Peninsular Range (E),-116.92562,33.95786
Peninsular Range (E),-116.92359,33.95677
Peninsular Range (E),-116.92267,33.95612
Peninsular Range (E),-116.92100,33.95445
Peninsular Range (E),-116.91861,33.95270
Peninsular Range (E),-116.91779,33.95187
Peninsular Range (E),-116.91520,33.95007
Peninsular Range (E),-116.91386,33.94924
Peninsular Range (E),-116.91047,33.94718
Peninsular Range (E),-116.90900,33.94653
Peninsular Range (E),-116.90783,33.94593
Peninsular Range (E),-116.90686,33.94561
Peninsular Range (E),-116.90572,33.94544
Peninsular Range (E),-116.90472,33.94540
Peninsular Range (E),-116.90312,33.94521
Peninsular Range (E),-116.90034,33.94524
Peninsular Range (E),-116.89819,33.94514
Peninsular Range (E),-116.89555,33.94526
Peninsular Range (E),-116.89434,33.94521
Peninsular Range (E),-116.89330,33.94515
Peninsular Range (E),-116.89053,33.94516
Peninsular Range (E),-116.88845,33.94520
Peninsular Range (E),-116.88708,33.94513
Peninsular Range (E),-116.88500,33.94517
Peninsular Range (E),-116.88311,33.94527
Peninsular Range (E),-116.87950,33.94570
Peninsular Range (E),-116.87652,33.94620
Peninsular Range (E),-116.87389,33.94687
Peninsular Range (E),-116.87289,33.94704
Peninsular Range (E),-116.87173,33.94741
Peninsular Range (E),-116.87026,33.94792
Peninsular Range (E),-116.86908,33.94856
Peninsular Range (E),-116.86768,33.94920
Peninsular Range (E),-116.86569,33.95040
Peninsular Range (E),-116.86460,33.95134
Peninsular Range (E),-116.86151,33.95291
Peninsular Range (E),-116.85988,33.95315
Peninsular Range (E),-116.85859,33.95303
Peninsular Range (E),-116.85712,33.95306
Peninsular Range (E),-116.85547,33.95297
Peninsular Range (E),-116.85421,33.95254
Peninsular Range (E),-116.85097,33.95275
Peninsular Range (E),-116.84839,33.95296
Peninsular Range (E),-116.84723,33.95294
Peninsular Range (E),-116.84550,33.95283
Peninsular Range (E),-116.84438,33.95267
Peninsular Range (E),-116.84292,33.95230
Peninsular Range (E),-116.84188,33.95179
Peninsular Range (E),-116.84026,33.95127
Peninsular Range (E),-116.83890,33.95043
Peninsular Range (E),-116.83719,33.94982
Peninsular Range (E),-116.83605,33.94925
Peninsular Range (E),-116.83298,33.94781
Peninsular Range (E),-116.83035,33.94611
Peninsular Range (E),-116.82834,33.94489
Peninsular Range (E),-116.82714,33.94398
Peninsular Range (E),-116.82624,33.94331
Peninsular Range (E),-116.82520,33.94275
Peninsular Range (E),-116.82346,33.94184
Peninsular Range (E),-116.82255,33.94123
Peninsular Range (E),-116.82139,33.94071
Peninsular Range (E),-116.81923,33.93989
Peninsular Range (E),-116.81733,33.93926
Peninsular Range (E),-116.81505,33.93882
Peninsular Range (E),-116.81302,33.93836
Peninsular Range (E),-116.81121,33.93845
Peninsular Range (E),-116.80991,33.93854
Peninsular Range (E),-116.80722,33.93902
Peninsular Range (E),-116.80610,33.93942
Peninsular Range (E),-116.80426,33.93984
Peninsular Range (E),-116.80106,33.94071
Peninsular Range (E),-116.79944,33.94108
Peninsular Range (E),-116.79729,33.94175
Peninsular Range (E),-116.79580,33.94194
Peninsular Range (E),-116.79296,33.94247
Peninsular Range (E),-116.78900,33.94322
Peninsular Range (E),-116.78746,33.94408
Peninsular Range (E),-116.78476,33.94470
Peninsular Range (E),-116.78298,33.94484
Peninsular Range (E),-116.78048,33.94412
Peninsular Range (E),-116.77877,33.94348
Peninsular Range (E),-116.77724,33.94312
Peninsular Range (E),-116.77504,33.94248
Peninsular Range (E),-116.77192,33.94200
Peninsular Range (E),-116.76955,33.94176
Peninsular Range (E),-116.76834,33.94164
Peninsular Range (E),-116.76421,33.94159
Peninsular Range (E),-116.76061,33.94163
Peninsular Range (E),-116.75868,33.94164
Peninsular Range (E),-116.75723,33.94158
Peninsular Range (E),-116.75538,33.94147
Peninsular Range (E),-116.75351,33.94144
Peninsular Range (E),-116.74995,33.94142
Peninsular Range (E),-116.74838,33.94143
Peninsular Range (E),-116.74437,33.94164
Peninsular Range (E),-116.74229,33.94194
