domain,xcoord,ycoord
Peninsular Range (E),-114.532442972118801,29.433608496855250
Peninsular Range (E),-114.533569015137402,29.433536102455012
Peninsular Range (E),-114.764713439998403,29.774032486076610
Peninsular Range (E),-115.076654396298693,30.280003216095299
Peninsular Range (E),-115.343856016524995,30.829460068955061
Peninsular Range (E),-115.560320622871700,31.220365475192299
Peninsular Range (E),-115.658867670194695,31.340469689117249
Peninsular Range (E),-115.746650436278898,31.506458919530999
Peninsular Range (E),-115.858373956749702,31.659679747605232
Peninsular Range (E),-116.022767136870996,31.835245279773620
Peninsular Range (E),-116.067456545059400,31.929412247027571
Peninsular Range (E),-116.102569651492999,32.029963415451292
Peninsular Range (E),-116.156835361435995,32.167223740601123
Peninsular Range (E),-116.343573245651498,32.427379938268828
Peninsular Range (E),-116.409011307641507,32.532719257569873
Peninsular Range (E),-116.519138777819904,32.709880840030692
Peninsular Range (E),-116.595749191856996,32.850333265765407
Peninsular Range (E),-116.683531957941199,33.001958043547198
Peninsular Range (E),-116.736201617591703,33.123257865772629
Peninsular Range (E),-116.778618880691198,33.210280597525902
Peninsular Range (E),-116.802601604845094,33.259336169658823
Peninsular Range (E),-116.770988013915002,33.245164559931531
Peninsular Range (E),-116.788429995117795,33.265876912609869
Peninsular Range (E),-116.804781852495395,33.313842360917597
Peninsular Range (E),-116.852747300803102,33.374889295127453
Peninsular Range (E),-116.915974482663302,33.457738705840811
Peninsular Range (E),-116.915974482663302,33.458828829665983
Peninsular Range (E),-116.929551479395101,33.497379572210832
Peninsular Range (E),-116.957300085854101,33.542966568536357
Peninsular Range (E),-116.997931973883396,33.626212387913426
Peninsular Range (E),-117.027662623660902,33.693601860742483
Peninsular Range (E),-117.051447143482903,33.768919506845528
Peninsular Range (E),-117.087123923215898,33.865048607792851
Peninsular Range (E),-117.063339403393897,33.849192261244838
Peninsular Range (E),-117.035590796934898,33.829371828059820
Peninsular Range (E),-117.011806277112896,33.797659134963801
Peninsular Range (E),-116.991985843927907,33.784775853393541
Peninsular Range (E),-116.955318042535595,33.772883593482533
Peninsular Range (E),-116.905766959573100,33.744143965364259
Peninsular Range (E),-116.923605349439597,33.792704026667543
Peninsular Range (E),-116.954327020876306,33.847210217926339
Peninsular Range (E),-116.971174389083600,33.892797214251871
Peninsular Range (E),-116.995949930564905,33.943339318873647
Peninsular Range (E),-117.005860081507905,33.985984858507827
Peninsular Range (E),-117.001465305569596,33.984507217289490
Peninsular Range (E),-116.993841250715903,33.980924791061568
Peninsular Range (E),-116.949021408910596,33.970397741231523
Peninsular Range (E),-116.934324020580704,33.961042518403609
Peninsular Range (E),-116.932190906659400,33.960239131867567
Peninsular Range (E),-116.930531134719402,33.959622423200393
Peninsular Range (E),-116.929265701256895,33.959145156138433
Peninsular Range (E),-116.926744451722996,33.958364064212027
Peninsular Range (E),-116.925618055473194,33.957859012246743
Peninsular Range (E),-116.923588143488800,33.956768622886173
Peninsular Range (E),-116.922671580040401,33.956117892841583
Peninsular Range (E),-116.920999072390899,33.954447512671997
Peninsular Range (E),-116.918606433208595,33.952699541094297
Peninsular Range (E),-116.917792262948495,33.951872690762720
Peninsular Range (E),-116.915196936317002,33.950070541186662
Peninsular Range (E),-116.913857683610999,33.949242730979073
Peninsular Range (E),-116.910473876909293,33.947177448666551
Peninsular Range (E),-116.909001229061801,33.946534306447028
Peninsular Range (E),-116.907831911015705,33.945934500473562
Peninsular Range (E),-116.906860530429299,33.945606252549148
Peninsular Range (E),-116.905724239261801,33.945439577041171
Peninsular Range (E),-116.904720337279500,33.945399050356578
Peninsular Range (E),-116.903123470607099,33.945209862538348
Peninsular Range (E),-116.900336582484300,33.945236700657738
Peninsular Range (E),-116.898190575967305,33.945139440670992
Peninsular Range (E),-116.895553901537298,33.945255923401547
Peninsular Range (E),-116.894336023076093,33.945213013663484
Peninsular Range (E),-116.893298502991698,33.945154185721783
Peninsular Range (E),-116.890527282243596,33.945159888563538
Peninsular Range (E),-116.888451830776006,33.945200415089687
Peninsular Range (E),-116.887084137407200,33.945128406750257
Peninsular Range (E),-116.884999885176398,33.945174221939403
Peninsular Range (E),-116.883114794269801,33.945270643859743
Peninsular Range (E),-116.879502491631897,33.945700518651073
Peninsular Range (E),-116.876517732056797,33.946198076231617
Peninsular Range (E),-116.873886086326905,33.946870883089453
Peninsular Range (E),-116.872887107790305,33.947041908074262
Peninsular Range (E),-116.871730058463399,33.947411035570703
Peninsular Range (E),-116.870256959479505,33.947915734488930
Peninsular Range (E),-116.869081325842501,33.948560108408593
Peninsular Range (E),-116.867684289823103,33.949197888624219
Peninsular Range (E),-116.865694186149497,33.950400307802063
Peninsular Range (E),-116.864604636934899,33.951338837624512
Peninsular Range (E),-116.861511969078904,33.952914807859948
Peninsular Range (E),-116.859881346115401,33.953145249915458
Peninsular Range (E),-116.858585865066502,33.953034677060977
Peninsular Range (E),-116.857118513314802,33.953060301233343
Peninsular Range (E),-116.855473928038194,33.952966266196022
Peninsular Range (E),-116.854210912673807,33.952542980302283
Peninsular Range (E),-116.850968769355603,33.952747969817402
Peninsular Range (E),-116.848386328229594,33.952961025191662
Peninsular Range (E),-116.847225223791995,33.952942874422831
Peninsular Range (E),-116.845497868770593,33.952828450419453
Peninsular Range (E),-116.844383533544899,33.952667578456207
Peninsular Range (E),-116.842915776520499,33.952297394873369
Peninsular Range (E),-116.841875323698204,33.951789575518617
Peninsular Range (E),-116.840260453316603,33.951272187871979
Peninsular Range (E),-116.838903171720204,33.950430647445181
Peninsular Range (E),-116.837194083333102,33.949818959269898
Peninsular Range (E),-116.836053998056897,33.949252052321441
Peninsular Range (E),-116.832980309357097,33.947810969349959
Peninsular Range (E),-116.830352607775396,33.946105498050450
Peninsular Range (E),-116.828335704544799,33.944890394754133
Peninsular Range (E),-116.827142723185403,33.943977015414021
Peninsular Range (E),-116.826239456048398,33.943311848819889
Peninsular Range (E),-116.825198008613199,33.942753014574393
Peninsular Range (E),-116.823457497271704,33.941844520896382
Peninsular Range (E),-116.822551982309903,33.941227801140982
Peninsular Range (E),-116.821387312230101,33.940714273135733
Peninsular Range (E),-116.819230344716004,33.939888182875990
Peninsular Range (E),-116.817331256500395,33.939262832163237
Peninsular Range (E),-116.815051587138299,33.938817326554833
Peninsular Range (E),-116.813021138647997,33.938364057909460
Peninsular Range (E),-116.811206267236699,33.938450608849649
Peninsular Range (E),-116.809905266836793,33.938536525068933
Peninsular Range (E),-116.807218688209502,33.939019056270247
Peninsular Range (E),-116.806098831598405,33.939424687900321
Peninsular Range (E),-116.804261622953604,33.939835925527291
Peninsular Range (E),-116.801059164999998,33.940705169540507
Peninsular Range (E),-116.799440877473501,33.941076740032400
Peninsular Range (E),-116.797288422194598,33.941754965440580
Peninsular Range (E),-116.795798031671893,33.941942867742959
Peninsular Range (E),-116.792958521102804,33.942466825456478
Peninsular Range (E),-116.789001823875196,33.943223920555930
Peninsular Range (E),-116.787459330343395,33.944077838332838
Peninsular Range (E),-116.784762497275807,33.944700499438859
Peninsular Range (E),-116.782982785177794,33.944843275407933
Peninsular Range (E),-116.780481546367596,33.944123771686847
Peninsular Range (E),-116.778774960790997,33.943477105649620
Peninsular Range (E),-116.777242340642601,33.943123427120007
Peninsular Range (E),-116.775041548735004,33.942480880767462
Peninsular Range (E),-116.771920310353707,33.942003291326493
Peninsular Range (E),-116.769551745173700,33.941759141743383
Peninsular Range (E),-116.768336777891804,33.941637414465262
Peninsular Range (E),-116.764208053748206,33.941594431983589
Peninsular Range (E),-116.760609701558494,33.941629575542201
Peninsular Range (E),-116.758680802041397,33.941636917021093
Peninsular Range (E),-116.757234498658903,33.941575501570732
Peninsular Range (E),-116.755384083063305,33.941470844243618
Peninsular Range (E),-116.753514814938598,33.941440316098173
Peninsular Range (E),-116.749948857589501,33.941423427847639
Peninsular Range (E),-116.748383851879694,33.941426001695412
Peninsular Range (E),-116.744371125875105,33.941639294314619
Peninsular Range (E),-116.742291759294403,33.941939258071038
Peninsular Range (E),-116.740560610686103,33.942083924570220
Peninsular Range (E),-116.739530893013495,33.942227029803391
Peninsular Range (E),-116.689711948495798,33.909760300002837
Peninsular Range (E),-116.607457150778004,33.888948845158581
Peninsular Range (E),-116.574753436022803,33.866155346995811
Peninsular Range (E),-116.513310093149201,33.792819744211258
Peninsular Range (E),-116.472678205119905,33.779936462641011
Peninsular Range (E),-116.433037338749898,33.755160921159742
Peninsular Range (E),-116.397360559016903,33.717502098108220
Peninsular Range (E),-116.366638887580095,33.704618816537959
Peninsular Range (E),-116.327989042869405,33.713538011471208
Peninsular Range (E),-116.301231458069594,33.708582903174957
Peninsular Range (E),-116.296276349773294,33.691735534967698
Peninsular Range (E),-116.280420003225302,33.658040798553181
Peninsular Range (E),-116.239788115196006,33.579750087472377
Peninsular Range (E),-116.216994617033293,33.563893740924371
Peninsular Range (E),-116.192219075552003,33.516324701280340
Peninsular Range (E),-116.208075422099995,33.471728726614060
Peninsular Range (E),-116.197174183848304,33.444971141814293
Peninsular Range (E),-116.210057465418501,33.427132751947767
Peninsular Range (E),-116.211048487077804,33.412267427059007
Peninsular Range (E),-116.202129292144505,33.397402102170247
Peninsular Range (E),-116.200147248825999,33.369653495711233
Peninsular Range (E),-116.188254988915006,33.334967737637463
Peninsular Range (E),-116.194201118870495,33.321093434407949
Peninsular Range (E),-116.304204523047304,33.384518820599993
Peninsular Range (E),-116.308168609684301,33.372626560688992
Peninsular Range (E),-116.306186566365795,33.350824084185469
Peninsular Range (E),-116.301231458069594,33.324066499385701
Peninsular Range (E),-116.296276349773294,33.308210152837702
Peninsular Range (E),-116.298258393091800,33.295326871267427
Peninsular Range (E),-116.399342602335395,33.363707365755729
Peninsular Range (E),-116.395378515698397,33.298299936245193
Peninsular Range (E),-116.404297710631695,33.267578264808421
Peninsular Range (E),-116.401324645653901,33.212081051890380
Peninsular Range (E),-116.378531147491103,33.180368358794361
Peninsular Range (E),-116.345827432735902,33.153610773994593
Peninsular Range (E),-116.304204523047304,33.143700557402077
Peninsular Range (E),-116.292312263136296,33.127844210854079
Peninsular Range (E),-116.363665822602400,33.139736470765087
