CFM5.3 Fault Object Name,Num,Fault Area/Major Fault System,Code,Num_2,Fault Zone/Region,Code_2,Num_3,Fault Section,Code_3,Num_4,Fault Name,Code_4,Alternative,Source/Author,Last Update,Descriptor,Avg Strike,Avg Dip,Area [km^2],Exposure,Slip Sense,ID Comments,USGS ID,Fault Strand/Model Description,References
SAFS-SAFZ-MULT-Banning_fault_strand-CFM4,1,San Andreas Fault System,SAFS,1,San Andreas fault zone,SAFZ,0,San Bernardino-Coachella Valley,MULT,2,Banning fault strand,BNFS,1,CMDT,CFM4,ALT1,294,72,1518.72,surface,rlss,,1 i-j,CFM4 model from Qfaults + relocated seismicity,"Bryant, 2005+updates; Lin et al., 2007; Hauksson et al., 2012; Seeber and Armbruster, 1994; Nicholson et al., 2010, 2012"
SAFS-SAFZ-PARK-San_Andreas_fault-CFM4,1,San Andreas Fault System,SAFS,1,San Andreas fault zone,SAFZ,6,Parkfield,PARK,1,San Andreas fault,SAF,1,UCSB,CFM4,,142,84,364.85,surface,rlss,,1f,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2012"
SAFS-SAFZ-CHLM-San_Andreas_fault-CFM4,1,San Andreas Fault System,SAFS,1,San Andreas fault zone,SAFZ,7,Cholame,CHLM,1,San Andreas fault,SAF,1,UCSB,CFM4,CHLM,143,88,669.57,surface,rlss,,1g,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2012"
SAFS-SAFZ-CRRZ-San_Andreas_fault-CFM4,1,San Andreas Fault System,SAFS,1,San Andreas fault zone,SAFZ,7,Carrizo,CRRZ,1,San Andreas fault,SAF,2,UCSB,CFM4,CRRZ,119,87,2235.47,surface,rlss,,1g,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2012"
SAFS-SAFZ-MJVS-San_Andreas_fault-CFM4,1,San Andreas Fault System,SAFS,1,San Andreas fault zone,SAFZ,8,Mojave,MJVS,1,San Andreas fault,SAF,1,UCSB,CFM4,,296,90,1189.52,surface,rlss,,1h,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2012"
SAFS-SAFZ-SBMT-San_Andreas_fault-CFM4,1,San Andreas Fault System,SAFS,1,San Andreas fault zone,SAFZ,9,San Bernardino Mountains,SBMT,1,San Andreas fault,SAF,1,UCSB,CFM4,ALT1,119,90,1051.3,surface,rlss,,1i,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2012"
SAFS-SAFZ-SBMT-Mill_Creek_fault_strand-CFM4,1,San Andreas Fault System,SAFS,1,San Andreas fault zone,SAFZ,9,San Bernardino Mountains,SBMT,5,Mill Creek fault strand,MLCS,1,UCSB,CFM4,ALT1,286,83,1089.64,surface,rlss,,1i,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2012"
SAFS-SAFZ-SBMT-Mission_Creek_fault_strand_steep-CFM4,1,San Andreas Fault System,SAFS,1,San Andreas fault zone,SAFZ,9,San Bernardino Mountains,SBMT,3,Mission Creek fault strand,MSCS,1,UCSB,CFM4,ALT1,282,82,831.77,surface,rlss,,1i,CFM4 model-steep dip; Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2012"
SAFS-SAFZ-COAV-Southern_San_Andreas_fault-CFM4,1,San Andreas Fault System,SAFS,1,San Andreas fault zone,SAFZ,10,Coachella,COAV,1,Southern San Andreas fault,SSAF,1,UCSB,CFM4,ALT1,314,90,1043.59,surface,rlss,,1j,CFM4 model; Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2012, 2014"
SAFS-SAFZ-COAV-Mission_Creek_fault_strand-CFM4,1,San Andreas Fault System,SAFS,1,San Andreas fault zone,SAFZ,10,Coachella,COAV,3,Mission Creek fault strand,MSCS,1,UCSB,CFM4,,311,85,606.69,surface,rlss,,1j,CFM4 model-south; Qfaults + relocated seismicity,"Nicholson et al., 2010, 2012, 2014"
